index,CHEMBL,KEGG,PUBCHEM,high_hba1c_minus_control,high_hba1c_minus_control_pvals
S-1-pyrroline-5-carboxylate,CHEMBL1161508,C04322,1196.0,,
spermidine,CHEMBL19612,C00315,1102.0,,
1-methylnicotinamide,CHEMBL71733,C02918,457.0,,
"12,13-DiHOME",,C14829,10236635.0,,
5-hydroxyindoleacetate,CHEMBL395915,C05635,1826.0,,
alpha-ketoglutarate,CHEMBL1686,C00026,51.0,,
kynurenate,CHEMBL299155,C01717,3845.0,,
3-hydroxyisobutyrate,,C06001,87.0,,
3-hydroxy-3-methylglutarate,CHEMBL50444,C03761,1662.0,,
homovanillate (HVA),CHEMBL1562,C05582,1738.0,,
3-phosphoglycerate,CHEMBL87788,C00597,724.0,,
cholate,CHEMBL205596,C00695,221493.0,,
4-hydroxyphenylacetate,CHEMBL1772,C00642,127.0,,
"5,6-dihydrothymine",,C00906,93556.0,,
hypoxanthine,,C00262,790.0,,
"9,10-DiHOME",,C14828,9966640.0,,
linoleate (18:2n6),CHEMBL267476,C01595,5280450.0,,
laurate (12:0),CHEMBL108766,C02679,3893.0,,
quinolinate,CHEMBL286204,C03722,1066.0,,
"N6,N6,N6-trimethyllysine",,C03793,440120.0,,
N-acetylputrescine,CHEMBL81241,C02714,122356.0,,
N-formylmethionine,,C03145,439750.0,,
S-adenosylhomocysteine (SAH),CHEMBL418052,C00021,439155.0,,
"adenosine 3',5'-cyclic monophosphate (cAMP)",CHEMBL316966,C00575,6076.0,,
adenosine 5'-monophosphate (AMP),CHEMBL752,C00020,6083.0,,
5-methylthioadenosine (MTA),CHEMBL277041,C00170,439176.0,,
arachidonate (20:4n6),CHEMBL15594,C00219,444899.0,,
arginine,,C00062,232.0,,
aspartate,CHEMBL274323,C00049,5960.0,,
2-hydroxyphenylacetate,CHEMBL240714,C05852,11970.0,,
3-(4-hydroxyphenyl)lactate,CHEMBL1162489,C03672,9378.0,,
phenylpyruvate,CHEMBL1162488,C00166,997.0,,
beta-alanine,CHEMBL297569,C00099,239.0,,
carnosine,CHEMBL242948,C00386,439224.0,,
biliverdin,,C00500,5353439.0,,
succinate,CHEMBL576,C00042,1110.0,,
3-hydroxybutyrate (BHBA),CHEMBL1162496,C01089,441.0,,
cholesterol,CHEMBL1867358,C00187,11025495.0,,
choline phosphate,CHEMBL1235161,C00588,1014.0,,
corticosterone,CHEMBL110739,C02140,5753.0,,
cortisone,CHEMBL1499,C00762,222786.0,,
creatinine,CHEMBL65567,C00791,588.0,,
cysteinylglycine,CHEMBL371579,C01419,439498.0,,
cystine,CHEMBL590540,C00491,67678.0,,
sphingosine,CHEMBL67166,C00319,5353955.0,,
deoxycholate,CHEMBL406393,C04483,222528.0,,
cystathionine,,C02291,439258.0,,
sphinganine,,C00836,3126.0,,
flavin adenine dinucleotide (FAD),CHEMBL1232653,C00016,643975.0,,
fumarate,CHEMBL503160,C00122,444972.0,,
gamma-glutamylglutamate,,C05282,92865.0,,
gluconate,CHEMBL464345,C00257,10690.0,,
glutarate (C5-DC),CHEMBL1162495,C00489,743.0,,
glycine,CHEMBL773,C00037,750.0,,
glycocholate,CHEMBL411070,C01921,10140.0,,
guanidinoacetate,CHEMBL281593,C00581,763.0,,
histidine,CHEMBL17962,C00135,6274.0,,
cortisol,CHEMBL389621,C00735,5754.0,,
hypotaurine,CHEMBL1256480,C00519,107812.0,,
inosine,,C00294,6021.0,,
myo-inositol,CHEMBL3976780,C00137,892.0,,
