name,uniprot,gene_name,t2d_minus_control,t2d_minus_control_pvals,high_hba1c_minus_control,high_hba1c_minus_control_pvals
CAM_O00533,O00533,CHL1,,,,
CAM_O14786,O14786,NRP1,,,,
CAM_O15031,O15031,PLXNB2,,,,
CAM_O75015,O75015,FCGR3B,,,,
CAM_O75023,O75023,LILRB5,,,,
CAM_O95445,O95445,APOM,,,,
CAM_P00441,P00441,SOD1,,,,
CAM_P00915,P00915,CA1,,,,
CAM_P01033,P01033,TIMP1,,,,
CAM_P01034,P01034,CST3,,,,
CAM_P03950,P03950,ANG,,,,
CAM_P03951,P03951,F11,,,,
CAM_P04070,P04070,PROC,,,,
CAM_P05154,P05154,SERPINA5,,,,
CAM_P05362,P05362,ICAM1,,,,
CAM_P05451,P05451,REG1A,,,,
CAM_P05543,P05543,SERPINA7,,,,
CAM_P06681,P06681,C2,,,,
CAM_P07359,P07359,GP1BA,,,,
CAM_P07451,P07451,CA3,,,,
CAM_P07478,P07478,PRSS2,,,,
CAM_P07911,P07911,UMOD,,,,
CAM_P08581,P08581,MET,,,,
CAM_P08709,P08709,F7,,,,
CAM_P0CG05,P0CG05,"IGLC2,IGLC3",,,,
CAM_P10721,P10721,KIT,,,,
CAM_P11215,P11215,ITGAM,,,,
CAM_P11226,P11226,MBL2,,,,
CAM_P12318,P12318,FCGR2A,,,,
CAM_P12830,P12830,CDH1,,,,
CAM_P13501,P13501,CCL5,,,,
CAM_P13591,P13591,NCAM1,,,,
CAM_P13987,P13987,CD59,,,,
CAM_P14151,P14151,SELL,,,,
CAM_P14543,P14543,NID1,,,,
CAM_P15529,P15529,CD46,,,,
CAM_P15907,P15907,ST6GAL1,,,,
CAM_P16871,P16871,IL7R,,,,
CAM_P17813,P17813,ENG,,,,
CAM_P17936,P17936,IGFBP3,,,,
CAM_P19021,P19021,PAM,,,,
CAM_P19320,P19320,VCAM1,,,,
CAM_P20023,P20023,CR2,,,,
CAM_P20062,P20062,TCN2,,,,
CAM_P22105,P22105,TNXB,,,,
CAM_P22748,P22748,CA4,,,,
CAM_P22749,P22749,GNLY,,,,
CAM_P23141,P23141,CES1,,,,
CAM_P24592,P24592,IGFBP6,,,,
CAM_P24821,P24821,TNC,,,,
CAM_P27487,P27487,DPP4,,,,
CAM_P32942,P32942,ICAM3,,,,
CAM_P35443,P35443,THBS4,,,,
CAM_P35542,P35542,SAA4,,,,
CAM_P35590,P35590,TIE1,,,,
CAM_P39060,P39060,COL18A1,,,,
CAM_P42785,P42785,PRCP,,,,
CAM_P46531,P46531,NOTCH1,,,,
CAM_P49747,P49747,COMP,,,,
CAM_P55058,P55058,PLTP,,,,
CAM_P55774,P55774,CCL18,,,,
CAM_P59665,P59665,"DEFA1,DEFA1B",,,,
CAM_P80188,P80188,LCN2,,,,
CAM_Q03167,Q03167,TGFBR3,,,,
CAM_Q06141,Q06141,REG3A,,,,
CAM_Q12805,Q12805,EFEMP1,,,,
CAM_Q12884,Q12884,FAP,,,,
CAM_Q13093,Q13093,PLA2G7,,,,
CAM_Q13332,Q13332,PTPRS,,,,
CAM_Q13361,Q13361,MFAP5,,,,
CAM_Q14393,Q14393,GAS6,,,,
CAM_Q14515,Q14515,SPARCL1,,,,
CAM_Q14767,Q14767,LTBP2,,,,
CAM_Q15113,Q15113,PCOLCE,,,,
CAM_Q15485,Q15485,FCN2,,,,
CAM_Q15582,Q15582,TGFBI,,,,
CAM_Q16627,Q16627,CCL14,,,,
CAM_Q16769,Q16769,QPCT,,,,
CAM_Q16853,Q16853,AOC3,,,,
CAM_Q6EMK4,Q6EMK4,VASN,,,,
CAM_Q8N423,Q8N423,LILRB2,,,,
CAM_Q8NHL6,Q8NHL6,LILRB1,,,,
CAM_Q96H15,Q96H15,TIMD4,,,,
CAM_Q96KN2,Q96KN2,CNDP1,,,,
CAM_Q99650,Q99650,OSMR,,,,
CAM_Q9BXJ1,Q9BXJ1,C1QTNF1,,,,
CAM_Q9BXR6,Q9BXR6,CFHR5,,,,
CAM_Q9H1U4,Q9H1U4,MEGF9,,,,
CAM_Q9NQ79,Q9NQ79,CRTAC1,,,,
CAM_Q9UGM5,Q9UGM5,FETUB,,,,
CAM_Q9Y5C1,Q9Y5C1,ANGPTL3,,,,
CAM_Q9Y5Y7,Q9Y5Y7,LYVE1,,,,
CRE_A4D1B5,A4D1B5,GSAP,,,,
CRE_O00220,O00220,TNFRSF10A,,,,
CRE_O00221,O00221,NFKBIE,,,,
CRE_O00451,O00451,GFRA2,,,,
CRE_O14662,O14662,STX16,,,,
CRE_O14904,O14904,WNT9A,,,,
CRE_O14917,O14917,PCDH17,,,,
CRE_O43186,O43186,CRX,,,,
CRE_O43521-2,O43521,BCL2L11,,,,
CRE_O43699,O43699,SIGLEC6,,,,
CRE_O43752,O43752,STX6,,,,
CRE_O43915,O43915,FIGF,,,,
CRE_O60243,O60243,HS6ST1,,,,
CRE_O75054,O75054,IGSF3,,,,
CRE_O75354,O75354,ENTPD6,,,,
CRE_O94760,O94760,DDAH1,,,,
CRE_O95183,O95183,VAMP5,,,,
CRE_O95644,O95644,NFATC1,,,,
CRE_O95988,O95988,TCL1B,,,,
CRE_O96013,O96013,PAK4,,,,
CRE_P01242,P01242,GH2,,,,
CRE_P01275,P01275,GCG,,,,
CRE_P02462,P02462,COL4A1,,,,
CRE_P04637,P04637,TP53,,,,
CRE_P05412,P05412,JUN,,,,
CRE_P08237,P08237,PFKM,,,,
CRE_P09758,P09758,TACSTD2,,,,
