index,name,uniprot,gene_name,outlier_frequency_in_diabetes,outlier_frequency_in_pre_diab
CAM_O00533,CAM_O00533,O00533,CHL1,0.0,0.0
CAM_O14786,CAM_O14786,O14786,NRP1,0.0,0.0
CAM_O15031,CAM_O15031,O15031,PLXNB2,0.0,0.0
CAM_O75015,CAM_O75015,O75015,FCGR3B,0.0,0.0
CAM_O75023,CAM_O75023,O75023,LILRB5,0.0,0.0
CAM_O95445,CAM_O95445,O95445,APOM,0.0,0.0
CAM_P00441,CAM_P00441,P00441,SOD1,0.0,0.0
CAM_P00915,CAM_P00915,P00915,CA1,0.0,0.0
CAM_P01033,CAM_P01033,P01033,TIMP1,0.0,0.0
CAM_P01034,CAM_P01034,P01034,CST3,0.0,0.0
CAM_P03950,CAM_P03950,P03950,ANG,0.0,0.0
CAM_P03951,CAM_P03951,P03951,F11,0.0,0.0
CAM_P04070,CAM_P04070,P04070,PROC,0.0,0.0
CAM_P05154,CAM_P05154,P05154,SERPINA5,0.0,0.0
CAM_P05362,CAM_P05362,P05362,ICAM1,0.0,0.0
CAM_P05451,CAM_P05451,P05451,REG1A,0.0,0.0
CAM_P05543,CAM_P05543,P05543,SERPINA7,0.0,0.0
CAM_P06681,CAM_P06681,P06681,C2,0.0,0.0
CAM_P07359,CAM_P07359,P07359,GP1BA,0.0,0.0
CAM_P07451,CAM_P07451,P07451,CA3,0.0,0.0
CAM_P07478,CAM_P07478,P07478,PRSS2,0.0,0.0
CAM_P07911,CAM_P07911,P07911,UMOD,0.0,0.0
CAM_P08581,CAM_P08581,P08581,MET,0.0,0.0
CAM_P08709,CAM_P08709,P08709,F7,0.0,0.0
CAM_P0CG05,CAM_P0CG05,P0CG05,"IGLC2,IGLC3",0.0,0.0
CAM_P10721,CAM_P10721,P10721,KIT,0.0,0.0
CAM_P11215,CAM_P11215,P11215,ITGAM,0.0,0.0
CAM_P11226,CAM_P11226,P11226,MBL2,0.0,0.0
CAM_P12318,CAM_P12318,P12318,FCGR2A,0.0,0.0
CAM_P12830,CAM_P12830,P12830,CDH1,0.0,0.0
CAM_P13501,CAM_P13501,P13501,CCL5,0.0,0.0
CAM_P13591,CAM_P13591,P13591,NCAM1,0.0,0.0
CAM_P13987,CAM_P13987,P13987,CD59,0.0,0.0
CAM_P14151,CAM_P14151,P14151,SELL,0.0,0.0
CAM_P14543,CAM_P14543,P14543,NID1,0.0,0.0
