subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category
2919	3577	NCBIGene	NCBIGene	CXCL1	CXCR1	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2920	3577	NCBIGene	NCBIGene	CXCL2	CXCR1	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2921	3577	NCBIGene	NCBIGene	CXCL3	CXCR1	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6372	3577	NCBIGene	NCBIGene	CXCL6	CXCR1	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6374	3577	NCBIGene	NCBIGene	CXCL5	CXCR1	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6372	3577	NCBIGene	NCBIGene	CXCL6	CXCR1	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6374	3577	NCBIGene	NCBIGene	CXCL5	CXCR1	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
3576	3577	NCBIGene	NCBIGene	CXCL8	CXCR1	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2919	3579	NCBIGene	NCBIGene	CXCL1	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2920	3579	NCBIGene	NCBIGene	CXCL2	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2921	3579	NCBIGene	NCBIGene	CXCL3	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6372	3579	NCBIGene	NCBIGene	CXCL6	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6374	3579	NCBIGene	NCBIGene	CXCL5	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6372	3579	NCBIGene	NCBIGene	CXCL6	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6374	3579	NCBIGene	NCBIGene	CXCL5	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
3576	3579	NCBIGene	NCBIGene	CXCL8	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2919	3579	NCBIGene	NCBIGene	CXCL1	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2920	3579	NCBIGene	NCBIGene	CXCL2	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2921	3579	NCBIGene	NCBIGene	CXCL3	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2919	3579	NCBIGene	NCBIGene	CXCL1	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2920	3579	NCBIGene	NCBIGene	CXCL2	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
2921	3579	NCBIGene	NCBIGene	CXCL3	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
5473	3579	NCBIGene	NCBIGene	PPBP	CXCR2	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
5196	2833	NCBIGene	NCBIGene	PF4	CXCR3	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
5197	2833	NCBIGene	NCBIGene	PF4V1	CXCR3	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
5196	2833	NCBIGene	NCBIGene	PF4	CXCR3	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
5197	2833	NCBIGene	NCBIGene	PF4V1	CXCR3	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
4283	2833	NCBIGene	NCBIGene	CXCL9	CXCR3	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
3627	2833	NCBIGene	NCBIGene	CXCL10	CXCR3	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
6373	2833	NCBIGene	NCBIGene	CXCL11	CXCR3	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
10563	2833	NCBIGene	NCBIGene	CXCL13	CXCR3	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
10563	643	NCBIGene	NCBIGene	CXCL13	CXCR5	activation	hsa04060	Multiomics-BigGIM-DrugResponse	PMID:27899662	Gene	Gene
