subject_id,object_id,subject_id_prefix,object_id_prefix,subject_name,object_name,predicate,Primary_Knowledge_Source,Knowledge_Source,publications,subject_category,object_category
3630,3643,NCBIGene,NCBIGene,INS,INSR,activation,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
3643,3667,NCBIGene,NCBIGene,INSR,IRS1,activation,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
3667,5290,NCBIGene,NCBIGene,IRS1,PIK3CA,activation,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
3643,3667,NCBIGene,NCBIGene,INSR,IRS1,activation,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
3667,5290,NCBIGene,NCBIGene,IRS1,PIK3CA,activation,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
9370,6517,NCBIGene,NCBIGene,ADIPOQ,SLC2A4,indirect effect,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
3643,5594,NCBIGene,NCBIGene,INSR,MAPK1,indirect effect,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
7124,3551,NCBIGene,NCBIGene,TNF,IKBKB,indirect effect,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
7124,5599,NCBIGene,NCBIGene,TNF,MAPK8,indirect effect,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
7124,2475,NCBIGene,NCBIGene,TNF,MTOR,indirect effect,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
5290,6517,NCBIGene,NCBIGene,PIK3CA,SLC2A4,indirect effect,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
5290,2475,NCBIGene,NCBIGene,PIK3CA,MTOR,indirect effect,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
5290,5590,NCBIGene,NCBIGene,PIK3CA,PRKCZ,indirect effect,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
122809,3667,NCBIGene,NCBIGene,SOCS4,IRS1,inhibition,hsa01100,KEGG_Pathways,PMID:27899662,Gene,Gene
