subject_id,object_id,subject_id_prefix,object_id_prefix,subject_name,object_name,predicate,Primary_Knowledge_Source,Knowledge_Source,publications,subject_category,object_category
7848455,hsa01100,PubChem,KEGG,Mizoribine (JP18/INN),Metabolic pathways - Homo sapiens (human),participates_in,hsa01100,KEGG_Pathways,PMID:27899662,Drug,Pathway
340650305,hsa01230,PubChem,KEGG,Enasidenib (USAN/INN),Biosynthesis of amino acids - Homo sapiens (human),participates_in,hsa01230,KEGG_Pathways,PMID:27899662,Drug,Pathway
355052578,hsa01230,PubChem,KEGG,Enasidenib mesylate (USAN),Biosynthesis of amino acids - Homo sapiens (human),participates_in,hsa01230,KEGG_Pathways,PMID:27899662,Drug,Pathway
405226561,hsa01230,PubChem,KEGG,Pegzilarginase (USAN/INN),Biosynthesis of amino acids - Homo sapiens (human),participates_in,hsa01230,KEGG_Pathways,PMID:27899662,Drug,Pathway
2821,hsa00030,NCBIGene,KEGG,GPI,Pentose phosphate pathway - Homo sapiens (human),participates_in,hsa00030,KEGG_Pathways,PMID:27899662,Gene,Pathway
2539,hsa00030,NCBIGene,KEGG,G6PD,Pentose phosphate pathway - Homo sapiens (human),participates_in,hsa00030,KEGG_Pathways,PMID:27899662,Gene,Pathway
25796,hsa00030,NCBIGene,KEGG,PGLS,Pentose phosphate pathway - Homo sapiens (human),participates_in,hsa00030,KEGG_Pathways,PMID:27899662,Gene,Pathway
9563,hsa00030,NCBIGene,KEGG,H6PD,Pentose phosphate pathway - Homo sapiens (human),participates_in,hsa00030,KEGG_Pathways,PMID:27899662,Gene,Pathway
5226,hsa00030,NCBIGene,KEGG,PGD,Pentose phosphate pathway - Homo sapiens (human),participates_in,hsa00030,KEGG_Pathways,PMID:27899662,Gene,Pathway
6120,hsa00030,NCBIGene,KEGG,RPE,Pentose phosphate pathway - Homo sapiens (human),participates_in,hsa00030,KEGG_Pathways,PMID:27899662,Gene,Pathway
729020,hsa00030,NCBIGene,KEGG,RPEL1,Pentose phosphate pathway - Homo sapiens (human),participates_in,hsa00030,KEGG_Pathways,PMID:27899662,Gene,Pathway
