subject_id,object_id,subject_id_prefix,object_id_prefix,subject_name,object_name,predicate,Primary_Knowledge_Source,Knowledge_Source,publications,subject_category,object_category
7529,P31946,NCBIGene,UNIPROT,YWHAB,1433B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
7531,P62258,NCBIGene,UNIPROT,YWHAE,1433E_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
7533,Q04917,NCBIGene,UNIPROT,YWHAH,1433F_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
7532,P61981,NCBIGene,UNIPROT,YWHAG,1433G_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
2810,P31947,NCBIGene,UNIPROT,SFN,1433S_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
10971,P27348,NCBIGene,UNIPROT,YWHAQ,1433T_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
7534,P63104,NCBIGene,UNIPROT,YWHAZ,1433Z_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
84680,Q96QU6,NCBIGene,UNIPROT,ACCS,1A1L1_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
390110,Q4AC99,NCBIGene,UNIPROT,ACCSL,1A1L2_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5525,Q15172,NCBIGene,UNIPROT,PPP2R5A,2A5A_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5526,Q15173,NCBIGene,UNIPROT,PPP2R5B,2A5B_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5528,Q14738,NCBIGene,UNIPROT,PPP2R5D,2A5D_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5529,Q16537,NCBIGene,UNIPROT,PPP2R5E,2A5E_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5527,Q13362,NCBIGene,UNIPROT,PPP2R5C,2A5G_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5518,P30153,NCBIGene,UNIPROT,PPP2R1A,2AAA_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5519,P30154,NCBIGene,UNIPROT,PPP2R1B,2AAB_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5520,P63151,NCBIGene,UNIPROT,PPP2R2A,2ABA_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
5521,Q00005,NCBIGene,UNIPROT,PPP2R2B,2ABB_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
55844,Q66LE6,NCBIGene,UNIPROT,PPP2R2D,2ABD_HUMAN,translates_to,UNIPROT,UNIPROT,PMID:36408920,Gene,Protein
